Exercise,Project Type,Project,Waiting Time,Flat Type,Estimated Floor Area,Estimated Internal Floor Area,Units,Min Price,Max Price
Feb 2025,Standard Projects,Woodlands North Verge,47/48,2-room Flexi,40,38,67,140000,204000
Feb 2025,Standard Projects,Woodlands North Verge,47/48,2-room Flexi,48,46,268,166000,251000
Feb 2025,Standard Projects,Woodlands North Verge,47/48,3-room,69,66,85,275000,363000
Feb 2025,Standard Projects,Woodlands North Verge,47/48,4-room,93 - 96,90 - 93,608,365000,528000
Feb 2025,Standard Projects,Woodlands North Verge,47/48,5-room,113 - 116,110 - 113,535,486000,661000
Feb 2025,Standard Projects,Chencharu Vines,37,2-room Flexi,38,36,39,108000,135000
Feb 2025,Standard Projects,Chencharu Vines,37,2-room Flexi,48,46,152,144000,179000
Feb 2025,Standard Projects,Chencharu Vines,37,3-room,69,66,90,245000,295000
Feb 2025,Standard Projects,Chencharu Vines,37,4-room,93 - 94,90,305,316000,380000
Feb 2025,Standard Projects,Chencharu Vines,37,5-room,113 - 114,110,262,447000,523000
Feb 2025,Standard Projects,Chencharu Green,38,2-room Flexi,38,36,41,110000,137000
Feb 2025,Standard Projects,Chencharu Green,38,2-room Flexi,48,46,124,150000,181000
Feb 2025,Standard Projects,Chencharu Green,38,4-room,94,90,271,324000,395000
Feb 2025,Standard Projects,Chencharu Green,38,5-room,114,110,247,453000,533000
Feb 2025,Plus Project,Stirling Horizon,55,2-room Flexi,40,38,118,224000,298000
Feb 2025,Plus Project,Stirling Horizon,55,2-room Flexi,48,46,341,266000,365000
Feb 2025,Plus Project,Stirling Horizon,55,3-room,66,63,81,408000,529000
Feb 2025,Plus Project,Stirling Horizon,55,4-room,89,86,586,554000,749000
Feb 2025,Prime Project,Tanjong Rhu Parc Front,48,2-room Flexi,39,36,58,211000,286000
Feb 2025,Prime Project,Tanjong Rhu Parc Front,48,2-room Flexi,49,46,203,275000,364000
Feb 2025,Prime Project,Tanjong Rhu Parc Front,48,3-room,66,63,87,399000,519000
Feb 2025,Prime Project,Tanjong Rhu Parc Front,48,4-room,90,86,464,548000,727000
Oct 2024,Standard Projects,West BrickVille @ Bukit Batok,24,2-room Flexi,38,36,39,140000,175000
Oct 2024,Standard Projects,West BrickVille @ Bukit Batok,24,2-room Flexi,48,46,91,170000,217000
Oct 2024,Standard Projects,West BrickVille @ Bukit Batok,24,3-room,69,66,91,247000,329000
Oct 2024,Standard Projects,West BrickVille @ Bukit Batok,24,4-room,93,90,260,335000,445000
Oct 2024,Standard Projects,West BrickVille @ Bukit Batok,24,5-room,113,110,169,496000,597000
Oct 2024,Standard Projects,West BrickVille @ Bukit Batok,24,3Gen,120,115,39,529000,606000
Oct 2024,Standard Projects,Taman Jurong Skyline,52,2-room Flexi,38,36,156,109000,152000
Oct 2024,Standard Projects,Taman Jurong Skyline,52,2-room Flexi,48,46,390,134000,194000
Oct 2024,Standard Projects,Taman Jurong Skyline,52,3-room,69,66,117,209000,306000
Oct 2024,Standard Projects,Taman Jurong Skyline,52,4-room,93,90,610,290000,434000
Oct 2024,Standard Projects,Taman Jurong Skyline,52,5-room,113,110,493,427000,598000
Oct 2024,Standard Projects,Taman Jurong Skyline,52,3Gen,120,115,78,465000,598000
Oct 2024,Standard Projects,Costa Riviera I & II,37/38,2-room Flexi,39,36,36,194000,221000
Oct 2024,Standard Projects,Costa Riviera I & II,37/38,2-room Flexi,49,46,106,239000,288000
Oct 2024,Standard Projects,Costa Riviera I & II,37/38,3-room,69,66,86,329000,411000
Oct 2024,Standard Projects,Costa Riviera I & II,37/38,4-room,94,90,394,481000,595000
Oct 2024,Standard Projects,Costa Riviera I & II,37/38,5-room,114,110,110,635000,736000
Oct 2024,Standard Projects,Costa Riviera I & II,37/38,3Gen,121,115,35,644000,753000
Oct 2024,Standard Projects,Fernvale Oasis,33,2-room Flexi,38,36,46,126000,160000
Oct 2024,Standard Projects,Fernvale Oasis,33,2-room Flexi,48,46,138,162000,205000
Oct 2024,Standard Projects,Fernvale Oasis,33,4-room,93,90,345,324000,410000
Oct 2024,Standard Projects,Fernvale Oasis,33,5-room,113,110,322,465000,571000
Oct 2024,Standard Projects,Fernvale Sails,27,2-room Flexi,39,37,22,149000,186000
Oct 2024,Standard Projects,Fernvale Sails,27,2-room Flexi,49,47,108,175000,240000
Oct 2024,Standard Projects,Fernvale Sails,27,3-room,69,66,88,277000,370000
Oct 2024,Standard Projects,Fernvale Sails,27,4-room,94,90,218,358000,474000
Oct 2024,Standard Projects,Fernvale Sails,27,5-room,114,110,109,524000,640000
Oct 2024,Standard Projects,Marsiling Ridge,43,4-room,93,90,162,329000,457000
Oct 2024,Standard Projects,Marsiling Ridge,43,5-room,113,110,130,488000,616000
Oct 2024,Standard Projects,Central Trio @ AMK,59,2-room Flexi,38,36,40,187000,227000
Oct 2024,Standard Projects,Central Trio @ AMK,59,2-room Flexi,48,46,115,221000,288000
Oct 2024,Standard Projects,Central Trio @ AMK,59,4-room,89,86,267,481000,603000
Oct 2024,Standard Projects,Bayshore Vista,45,2-room Flexi,39,36,58,216000,252000
Oct 2024,Standard Projects,Bayshore Vista,45,2-room Flexi,49,46,140,259000,340000
