exercise,project_type,project,waiting_time,flat_type,estimated_floor_area,estimated_internal_floor_area,units,min_price,max_price,exercise_date,avg_price,avg_floor_area
Feb 2025,standard projects,woodlands north verge,47/48,2-room flexi,40.0,38.0,67,140000,204000,2025-02-01,172000.0,39.0
Feb 2025,standard projects,woodlands north verge,47/48,2-room flexi,48.0,46.0,268,166000,251000,2025-02-01,208500.0,47.0
Feb 2025,standard projects,woodlands north verge,47/48,3-room,69.0,66.0,85,275000,363000,2025-02-01,319000.0,67.5
Feb 2025,standard projects,woodlands north verge,47/48,4-room,94.5,91.5,608,365000,528000,2025-02-01,446500.0,93.0
Feb 2025,standard projects,woodlands north verge,47/48,5-room,114.5,111.5,535,486000,661000,2025-02-01,573500.0,113.0
Feb 2025,standard projects,chencharu vines,37,2-room flexi,38.0,36.0,39,108000,135000,2025-02-01,121500.0,37.0
Feb 2025,standard projects,chencharu vines,37,2-room flexi,48.0,46.0,152,144000,179000,2025-02-01,161500.0,47.0
Feb 2025,standard projects,chencharu vines,37,3-room,69.0,66.0,90,245000,295000,2025-02-01,270000.0,67.5
Feb 2025,standard projects,chencharu vines,37,4-room,93.5,90.0,305,316000,380000,2025-02-01,348000.0,91.75
Feb 2025,standard projects,chencharu vines,37,5-room,113.5,110.0,262,447000,523000,2025-02-01,485000.0,111.75
Feb 2025,standard projects,chencharu green,38,2-room flexi,38.0,36.0,41,110000,137000,2025-02-01,123500.0,37.0
Feb 2025,standard projects,chencharu green,38,2-room flexi,48.0,46.0,124,150000,181000,2025-02-01,165500.0,47.0
Feb 2025,standard projects,chencharu green,38,4-room,94.0,90.0,271,324000,395000,2025-02-01,359500.0,92.0
Feb 2025,standard projects,chencharu green,38,5-room,114.0,110.0,247,453000,533000,2025-02-01,493000.0,112.0
Feb 2025,plus project,stirling horizon,55,2-room flexi,40.0,38.0,118,224000,298000,2025-02-01,261000.0,39.0
Feb 2025,plus project,stirling horizon,55,2-room flexi,48.0,46.0,341,266000,365000,2025-02-01,315500.0,47.0
Feb 2025,plus project,stirling horizon,55,3-room,66.0,63.0,81,408000,529000,2025-02-01,468500.0,64.5
Feb 2025,plus project,stirling horizon,55,4-room,89.0,86.0,586,554000,749000,2025-02-01,651500.0,87.5
Feb 2025,prime project,tanjong rhu parc front,48,2-room flexi,39.0,36.0,58,211000,286000,2025-02-01,248500.0,37.5
Feb 2025,prime project,tanjong rhu parc front,48,2-room flexi,49.0,46.0,203,275000,364000,2025-02-01,319500.0,47.5
Feb 2025,prime project,tanjong rhu parc front,48,3-room,66.0,63.0,87,399000,519000,2025-02-01,459000.0,64.5
Feb 2025,prime project,tanjong rhu parc front,48,4-room,90.0,86.0,464,548000,727000,2025-02-01,637500.0,88.0
Oct 2024,standard projects,west brickville @ bukit batok,24,2-room flexi,38.0,36.0,39,140000,175000,2024-10-01,157500.0,37.0
Oct 2024,standard projects,west brickville @ bukit batok,24,2-room flexi,48.0,46.0,91,170000,217000,2024-10-01,193500.0,47.0
Oct 2024,standard projects,west brickville @ bukit batok,24,3-room,69.0,66.0,91,247000,329000,2024-10-01,288000.0,67.5
Oct 2024,standard projects,west brickville @ bukit batok,24,4-room,93.0,90.0,260,335000,445000,2024-10-01,390000.0,91.5
Oct 2024,standard projects,west brickville @ bukit batok,24,5-room,113.0,110.0,169,496000,597000,2024-10-01,546500.0,111.5
Oct 2024,standard projects,west brickville @ bukit batok,24,3gen,120.0,115.0,39,529000,606000,2024-10-01,567500.0,117.5
Oct 2024,standard projects,taman jurong skyline,52,2-room flexi,38.0,36.0,156,109000,152000,2024-10-01,130500.0,37.0
Oct 2024,standard projects,taman jurong skyline,52,2-room flexi,48.0,46.0,390,134000,194000,2024-10-01,164000.0,47.0
Oct 2024,standard projects,taman jurong skyline,52,3-room,69.0,66.0,117,209000,306000,2024-10-01,257500.0,67.5
Oct 2024,standard projects,taman jurong skyline,52,4-room,93.0,90.0,610,290000,434000,2024-10-01,362000.0,91.5
Oct 2024,standard projects,taman jurong skyline,52,5-room,113.0,110.0,493,427000,598000,2024-10-01,512500.0,111.5
Oct 2024,standard projects,taman jurong skyline,52,3gen,120.0,115.0,78,465000,598000,2024-10-01,531500.0,117.5
Oct 2024,standard projects,costa riviera i & ii,37/38,2-room flexi,39.0,36.0,36,194000,221000,2024-10-01,207500.0,37.5
Oct 2024,standard projects,costa riviera i & ii,37/38,2-room flexi,49.0,46.0,106,239000,288000,2024-10-01,263500.0,47.5
Oct 2024,standard projects,costa riviera i & ii,37/38,3-room,69.0,66.0,86,329000,411000,2024-10-01,370000.0,67.5
Oct 2024,standard projects,costa riviera i & ii,37/38,4-room,94.0,90.0,394,481000,595000,2024-10-01,538000.0,92.0
Oct 2024,standard projects,costa riviera i & ii,37/38,5-room,114.0,110.0,110,635000,736000,2024-10-01,685500.0,112.0
Oct 2024,standard projects,costa riviera i & ii,37/38,3gen,121.0,115.0,35,644000,753000,2024-10-01,698500.0,118.0
Oct 2024,standard projects,fernvale oasis,33,2-room flexi,38.0,36.0,46,126000,160000,2024-10-01,143000.0,37.0
Oct 2024,standard projects,fernvale oasis,33,2-room flexi,48.0,46.0,138,162000,205000,2024-10-01,183500.0,47.0
Oct 2024,standard projects,fernvale oasis,33,4-room,93.0,90.0,345,324000,410000,2024-10-01,367000.0,91.5
Oct 2024,standard projects,fernvale oasis,33,5-room,113.0,110.0,322,465000,571000,2024-10-01,518000.0,111.5
Oct 2024,standard projects,fernvale sails,27,2-room flexi,39.0,37.0,22,149000,186000,2024-10-01,167500.0,38.0
Oct 2024,standard projects,fernvale sails,27,2-room flexi,49.0,47.0,108,175000,240000,2024-10-01,207500.0,48.0
Oct 2024,standard projects,fernvale sails,27,3-room,69.0,66.0,88,277000,370000,2024-10-01,323500.0,67.5
Oct 2024,standard projects,fernvale sails,27,4-room,94.0,90.0,218,358000,474000,2024-10-01,416000.0,92.0
Oct 2024,standard projects,fernvale sails,27,5-room,114.0,110.0,109,524000,640000,2024-10-01,582000.0,112.0
Oct 2024,standard projects,marsiling ridge,43,4-room,93.0,90.0,162,329000,457000,2024-10-01,393000.0,91.5
Oct 2024,standard projects,marsiling ridge,43,5-room,113.0,110.0,130,488000,616000,2024-10-01,552000.0,111.5
Oct 2024,standard projects,central trio @ amk,59,2-room flexi,38.0,36.0,40,187000,227000,2024-10-01,207000.0,37.0
Oct 2024,standard projects,central trio @ amk,59,2-room flexi,48.0,46.0,115,221000,288000,2024-10-01,254500.0,47.0
Oct 2024,standard projects,central trio @ amk,59,4-room,89.0,86.0,267,481000,603000,2024-10-01,542000.0,87.5
Oct 2024,standard projects,bayshore vista,45,2-room flexi,39.0,36.0,58,216000,252000,2024-10-01,234000.0,37.5
Oct 2024,standard projects,bayshore vista,45,2-room flexi,49.0,46.0,140,259000,340000,2024-10-01,299500.0,47.5
Oct 2024,standard projects,bayshore vista,45,3-room,66.0,63.0,80,369000,476000,2024-10-01,422500.0,64.5
Oct 2024,standard projects,bayshore vista,45,4-room,89.0,86.0,456,514000,694000,2024-10-01,604000.0,87.5
Oct 2024,standard projects,bayshore palms,47,2-room flexi,39.0,36.0,40,199000,253000,2024-10-01,226000.0,37.5
Oct 2024,standard projects,bayshore palms,47,2-room flexi,49.0,46.0,120,258000,326000,2024-10-01,292000.0,47.5
Oct 2024,standard projects,bayshore palms,47,4-room,89.0,86.0,550,495000,683000,2024-10-01,589000.0,87.5
Oct 2024,standard projects,kembangan wave,41,2-room flexi,39.0,36.0,34,190000,230000,2024-10-01,210000.0,37.5
Oct 2024,standard projects,kembangan wave,41,2-room flexi,48.0,46.0,84,210000,285000,2024-10-01,247500.0,47.0
Oct 2024,standard projects,kembangan wave,41,4-room,89.0,86.0,230,453000,592000,2024-10-01,522500.0,87.5
Oct 2024,standard projects,merpati alcove,44,4-room,89.0,86.0,168,530000,647000,2024-10-01,588500.0,87.5
Oct 2024,standard projects,kallang view,43,3-room,66.0,63.0,68,388000,497000,2024-10-01,442500.0,64.5
